ROI_Name,Normalized_Importance
Right Amygdala,1.0
Left Amygdala,0.8228515893965187
Left Hippocampus,0.1314496607129855
Right Ent entorhinal area,0.1577059162538335
Left Ent entorhinal area,0.17247842598287508
Right Hippocampus,0.08679425275970841
Left PHG parahippocampal gyrus,0.038662727910717586
Right ACgG anterior cingulate gyrus,0.003691365354571819
Left Putamen,0.0014806188247884135
Left Thalamus Proper,0.0008092634232834503
Right Thalamus Proper,0.001697979468810014
Left Pallidum,0.0
Right Pallidum,0.0
Right Caudate,0.0
Left Caudate,0.0
Right Putamen,0.0
Left Basal Forebrain,0.0
Left Accumbens Area,0.0
Right Accumbens Area,0.0
Left ACgG anterior cingulate gyrus,0.0
Right Basal Forebrain,0.0
Right AIns anterior insula,0.0
Left AIns anterior insula,0.0
Right AnG angular gyrus,0.0
Left AnG angular gyrus,0.0
Right AOrG anterior orbital gyrus,0.0
Left AOrG anterior orbital gyrus,0.0
Left Calc calcarine cortex,0.0
Right Calc calcarine cortex,0.0
Right CO central operculum,0.0
Left CO central operculum,0.0
Left Cun cuneus,0.0
Right Cun cuneus,0.0
Right FO frontal operculum,0.0
Left FO frontal operculum,0.0
Right FRP frontal pole,0.0
Left FRP frontal pole,0.0
Right FuG fusiform gyrus,0.0
Left FuG fusiform gyrus,0.0
Right GRe gyrus rectus,0.0
Left GRe gyrus rectus,0.0
Right IOG inferior occipital gyrus,0.0
Left IOG inferior occipital gyrus,0.0
Right ITG inferior temporal gyrus,0.0
Left ITG inferior temporal gyrus,0.0
Right LiG lingual gyrus,0.0
Left LiG lingual gyrus,0.0
Right LOrG lateral orbital gyrus,0.0
Left LOrG lateral orbital gyrus,0.0
Right MCgG middle cingulate gyrus,0.0
Brain Stem,0.0
Left MCgG middle cingulate gyrus,0.0
Right MFC medial frontal cortex,0.0
Right MFG middle frontal gyrus,0.0
Left MFC medial frontal cortex,0.0
Right MOG middle occipital gyrus,0.0
Left MOG middle occipital gyrus,0.0
Right MOrG medial orbital gyrus,0.00028082839408482657
Left MFG middle frontal gyrus,0.0
Right MPoG postcentral gyrus medial segment,0.0
Left MPoG postcentral gyrus medial segment,0.0
Right MPrG precentral gyrus medial segment,0.0
Left MPrG precentral gyrus medial segment,0.0
Right MSFG superior frontal gyrus medial segment,0.0
Left MSFG superior frontal gyrus medial segment,0.00016536331745589964
Right MTG middle temporal gyrus,0.0
Left MOrG medial orbital gyrus,0.0
Left MTG middle temporal gyrus,0.0
Right OCP occipital pole,0.0
Right OFuG occipital fusiform gyrus,0.0
Left OCP occipital pole,0.0
Right OpIFG opercular part of the inferior frontal gyrus,0.0
Left OpIFG opercular part of the inferior frontal gyrus,0.0
Right OrIFG orbital part of the inferior frontal gyrus,0.0
Left OFuG occipital fusiform gyrus,0.0
Left OrIFG orbital part of the inferior frontal gyrus,0.0
Right PCgG posterior cingulate gyrus,0.0
Right PCu precuneus,0.0
Left PCgG posterior cingulate gyrus,0.0
Left PCu precuneus,0.0
Right PHG parahippocampal gyrus,0.0
Right PIns posterior insula,0.0
Left PIns posterior insula,0.0
Right PO parietal operculum,0.0
Left PO parietal operculum,0.0
Right PoG postcentral gyrus,0.0
Left PoG postcentral gyrus,0.0
Right POrG posterior orbital gyrus,0.0
Left POrG posterior orbital gyrus,0.0
Right PP planum polare,0.0
Left PP planum polare,0.0
Right PrG precentral gyrus,0.0
Left PrG precentral gyrus,0.0
Right PT planum temporale,0.0
Left PT planum temporale,0.0
Right SCA subcallosal area,0.0
Left SCA subcallosal area,0.0
Right SFG superior frontal gyrus,0.0
Left SFG superior frontal gyrus,0.0
Right SMC supplementary motor cortex,0.0
Left SMC supplementary motor cortex,0.0
Right SMG supramarginal gyrus,0.0
Left SMG supramarginal gyrus,0.0006470192454665271
Right SOG superior occipital gyrus,0.0
Left SOG superior occipital gyrus,0.0
Right SPL superior parietal lobule,0.0
Left SPL superior parietal lobule,0.0
Right STG superior temporal gyrus,0.00032201389138104727
Left STG superior temporal gyrus,0.0
Right TMP temporal pole,0.0
Left TMP temporal pole,0.002461814677813473
Right TrIFG triangular part of the inferior frontal gyrus,0.0
Left TrIFG triangular part of the inferior frontal gyrus,0.0
Right TTG transverse temporal gyrus,0.0
Left TTG transverse temporal gyrus,0.0
